-4.048027 - -3.968641   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.968641 - -3.889256   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.889256 - -3.809870   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.809870 - -3.730485   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.730485 - -3.651099   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.651099 - -3.571714   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.571714 - -3.492328   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.492328 - -3.412943   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.412943 - -3.333557   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.333557 - -3.254172   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.254172 - -3.174786   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.174786 - -3.095401   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.095401 - -3.016015   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-3.016015 - -2.936630   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.936630 - -2.857244   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.857244 - -2.777859   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.777859 - -2.698473   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.698473 - -2.619088   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.619088 - -2.539702   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.539702 - -2.460317   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.460317 - -2.380931   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.380931 - -2.301546   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.301546 - -2.222160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.222160 - -2.142775   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.142775 - -2.063389   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-2.063389 - -1.984004   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.984004 - -1.904618   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.904618 - -1.825233   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.825233 - -1.745847   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.745847 - -1.666462   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.666462 - -1.587076   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.587076 - -1.507691   0   2   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.507691 - -1.428305   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.428305 - -1.348920   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.348920 - -1.269534   0   2   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.269534 - -1.190149   0   2   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.190149 - -1.110763   0   4   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.110763 - -1.031378   0   5   0   3   1   2   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-1.031378 - -0.951992   0   6   0   0   0   0   2   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.951992 - -0.872607   0   3   0   4   0   2   4   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.872607 - -0.793221   0   3   0   4   4   1   7   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.793221 - -0.713836   0   7   0   4   1   2   6   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.713836 - -0.634450   0   4   1   0   1  14   5   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.634450 - -0.555065   0   2   2   6   3   6   8   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.555065 - -0.475679   0  10   5   2   4   4   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
-0.475679 - -0.396294   0   5   7  10   8   5   9   7   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
